id,geocodigo,codigo_comuna,p01,cuenta,prop,cuenta_emp,expansor,expansor2,theta,lambda
670681,13101091001,13101,2,336,0.377528089887641,6,56,77,31.1396721311475,0.217799359353641
819726,13101091001,13101,2,336,0.377528089887641,6,56,56,31.1396721311475,0.217799359353641
819727,13101091001,13101,2,336,0.377528089887641,6,56,56,31.1396721311475,0.217799359353641
825878,13101091001,13101,2,336,0.377528089887641,6,56,56,31.1396721311475,0.217799359353641
828615,13101091001,13101,2,336,0.377528089887641,6,56,56,31.1396721311475,0.217799359353641
838522,13101091001,13101,2,336,0.377528089887641,6,56,56,31.1396721311475,0.217799359353641
825880,13101071001,13101,2,271,0.193157519600855,1,271,271,25.1156284153005,0.0765824956686949
799525,13101081001,13101,2,37,0.0302287581699346,5,7.4,7.4,3.42907103825137,1.3546858806692
825768,13101081001,13101,2,37,0.0302287581699346,5,7.4,7.4,3.42907103825137,1.3546858806692
825986,13101081001,13101,2,37,0.0302287581699346,5,7.4,7.4,3.42907103825137,1.3546858806692
834356,13101081001,13101,2,37,0.0302287581699346,5,7.4,7.4,3.42907103825137,1.3546858806692
835404,13101081001,13101,2,37,0.0302287581699346,5,7.4,7.4,3.42907103825137,1.3546858806692
837891,13101081004,13101,2,198,0.210414452709883,1,198,198,18.3501639344262,0.103358297468569
665422,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
665423,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
790455,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
809572,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
806534,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
812543,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
818187,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
824764,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
825005,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
826060,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
826251,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
827555,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
828986,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
829775,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
831156,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
832296,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
834571,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
834707,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
835336,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
836233,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
837493,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
840060,13101031003,13101,2,97,0.0375968992248062,22,4.40909090909091,4.40909090909091,8.98972677595628,2.30236527142638
831769,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
511644,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
791593,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
805354,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
812738,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
825185,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
825868,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
826495,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
828426,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
828522,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
832164,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
832636,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
836408,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
837707,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
839061,13101021001,13101,2,97,0.060625,15,6.46666666666667,6.46666666666667,8.98972677595628,1.60164540620966
826913,13101091002,13101,2,48,0.0406779661016949,3,16,16,4.44852459016393,0.73414369960284
