id,geocodigo,codigo_comuna,p01,cuenta,prop,cuenta_emp,expansor,expansor2,theta,lambda,latitud2,longitud2
825264,13101091001,13101,1,56,0.0857580398162328,1,56,77,2.7979120059657,0.526605144315727,-33.4316483,-70.6660711
620902,13101111017,13101,1,5,0.0359712230215827,2,2.5,3.5,0.249813571961223,2.40035799522673,-33.44797038,-70.63647093
621447,13101111017,13101,1,5,0.0359712230215827,2,2.5,2.5,0.249813571961223,2.40035799522673,-33.4479499,-70.63646811
825302,13101121004,13101,1,28,0.233333333333333,1,28,34,1.39895600298285,0.833695990052844,-33.4539792,-70.6491595
828576,13101141001,13101,1,36,0.0704500978473581,1,36,43,1.79865771812081,0.71462829736211,-33.4554785,-70.6408825
830681,13101271004,13101,1,60,0.108499095840868,2,30,59,2.99776286353468,0.750419697817571,-33.4548634,-70.6689585
830682,13101271004,13101,1,60,0.108499095840868,2,30,30,2.99776286353468,0.750419697817571,-33.4548634,-70.6689585
834259,13101161002,13101,1,82,0.0772855796418473,1,82,89,4.09694258016406,0.39239209948793,-33.4620898,-70.631781
619190,13101171001,13101,1,77,0.0662080825451419,3,25.6666666666667,68.6666666666667,3.84712900820283,0.825230769230769,-33.4586809,-70.6360613
826664,13101171001,13101,1,77,0.0662080825451419,3,25.6666666666667,25.6666666666667,3.84712900820283,0.825230769230769,-33.45968273,-70.64188599
833031,13101171001,13101,1,77,0.0662080825451419,3,25.6666666666667,25.6666666666667,3.84712900820283,0.825230769230769,-33.4620077,-70.6414188
823588,13101251001,13101,1,90,0.0727566693613581,1,90,122,4.49664429530201,0.363858363858364,-33.46166377,-70.67393302
825430,13101191001,13101,1,59,0.0937996820349762,1,59,95,2.94780014914243,0.506611258027956,-33.4609157,-70.6524893
798798,13101171003,13101,1,49,0.0645586297760211,3,16.3333333333333,66.3333333333333,2.44817300521999,1.16003460207612,-33.46911,-70.642263
825152,13101171003,13101,1,49,0.0645586297760211,3,16.3333333333333,16.3333333333333,2.44817300521999,1.16003460207612,-33.4653369,-70.6348605
833180,13101171003,13101,1,49,0.0645586297760211,3,16.3333333333333,16.3333333333333,2.44817300521999,1.16003460207612,-33.4653369,-70.6348605
633729,13101201003,13101,1,1,0.0013550135501355,1,1,39,0.0499627143922446,1.90482954545455,-33.46953993,-70.63747979
829324,13101131007,13101,1,36,0.307692307692308,1,36,42,1.79865771812081,0.71462829736211,-33.452972,-70.658571
794628,13101151003,13101,1,18,0.0493150684931507,1,18,18,0.899328859060403,1.0530035335689,-33.45803499,-70.65258264
830056,13101271001,13101,1,12,0.0371517027863777,1,12,34,0.599552572706935,1.25034965034965,-33.44815346,-70.66646575
828778,13102031005,13102,1,23,0.0202286719437115,1,23,32,1.47093023255814,0.809411764705882,-33.49584598,-70.7282436
828830,13102031004,13102,1,24,0.0246913580246914,1,24,37,1.53488372093023,0.788990825688073,-33.5036347,-70.7244012
833075,13102011003,13102,1,15,0.0132978723404255,2,7.5,38.5,0.959302325581395,1.53115727002967,-33.5169606,-70.7062009
834661,13102011003,13102,1,15,0.0132978723404255,2,7.5,7.5,0.959302325581395,1.53115727002967,-33.5139548,-70.7024347
817672,13102011001,13102,1,39,0.0449308755760369,1,39,64,2.49418604651163,0.572379367720466,-33.516612,-70.711743
802798,13103011004,13103,1,18,0.0169971671388102,1,18,20,1.39622641509434,0.834645669291339,-33.42252005,-70.72693347
840319,13103021004,13103,1,20,0.0218818380743982,2,10,24,1.55136268343816,1.17584223500411,-33.42830785,-70.72322911
840323,13103021004,13103,1,20,0.0218818380743982,2,10,10,1.55136268343816,1.17584223500411,-33.42990585,-70.72227074
832329,13104011002,13104,1,8,0.00849256900212314,1,8,28,0.557142857142857,1.28440366972477,-33.3818647,-70.6750265
840100,13104041002,13104,1,4,0.00436205016357688,1,4,11,0.278571428571429,1.56424581005587,-33.3826498,-70.6666286
836030,13104011003,13104,1,25,0.0407830342577488,1,25,31,1.74107142857143,0.729641693811075,-33.3846893,-70.6800213
836939,13104091001,13104,1,36,0.0448877805486284,1,36,71,2.50714285714286,0.570264765784114,-33.385886,-70.679093
107080,13104101003,13104,1,17,0.017258883248731,1,17,31,1.18392857142857,0.915780866721177,-33.3907058,-70.6807368
670666,13104091003,13104,1,20,0.0211416490486258,1,20,47,1.39285714285714,0.835820895522388,-33.39489,-70.670456
617834,13104061002,13104,1,1,0.00189753320683112,1,1,6,0.0696428571428571,1.86978297161937,-33.3991324,-70.6790363
832755,13105021003,13105,1,20,0.0227014755959137,1,20,42,1.14122681883024,0.934043970686209,-33.5474,-70.6732
839868,13105011002,13105,1,36,0.0255681818181818,2,18,21,2.05420827389444,0.98225128444652,-33.552374,-70.673649
834872,13105011002,13105,1,36,0.0255681818181818,2,18,18,2.05420827389444,0.98225128444652,-33.5500825,-70.6777293
834157,13105031001,13105,1,22,0.0287958115183246,1,22,27,1.25534950071327,0.886780518659077,-33.546745,-70.669054
840114,13105091001,13105,1,17,0.0157261794634598,1,17,48,0.970042796005706,1.01520637219406,-33.56200591,-70.67482928
683496,13105081003,13105,1,19,0.0163511187607573,1,19,39,1.08416547788873,0.959616700889801,-33.575651,-70.686675
835772,13106081001,13106,1,11,0.0279898218829517,1,11,20,0.378097521982414,1.45127610208817,-33.4657258,-70.7291076
839106,13106081005,13106,1,28,0.036697247706422,1,28,41,0.962430055955236,1.01914460285132,-33.4627242,-70.7251297
800030,13106091001,13106,1,23,0.027710843373494,1,23,38,0.790567545963229,1.11696428571429,-33.465656,-70.7100973
